,Year,Cap
0,2024,242500000
1,2023,224800000
2,2022,208200000
3,2021,182500000
4,2020,198200000
5,2019,188200000
6,2018,177200000
7,2017,167000000
8,2016,155270000
9,2015,143280000
10,2014,133000000
11,2013,123600000
12,2012,120600000
13,2011,120375000
14,2010,0
15,2009,123000000
16,2008,116000000
17,2007,109000000
18,2006,102000000
19,2005,85500000
20,2004,80582000
21,2003,75007000
22,2002,71101000
23,2001,67405000
24,2000,62172000
25,1999,57288000
26,1998,52388000
27,1997,41454000
28,1996,40753000
29,1995,37100000
30,1994,34608000
