,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
4,1,5,ARI,Patrick Peterson,DB,21,13,12,103,95,201,LSU,2011,0.5124378109452736,0.472636815920398,2.609695256679512,97.9,0.39075069136660967
18,1,19,NYG,Prince Amukamara,DB,22,9,8,36,15,113,Nebraska,2011,0.3185840707964602,0.13274336283185842,1.2281369000703926,88.6,0.3356830745249306
26,1,27,BAL,Jimmy Smith,DB,23,11,5,33,33,128,Colorado,2011,0.2578125,0.2578125,1.1643098047142706,76.8,0.30824043801493967
32,2,33,NWE,Ras-I Dowling,DB,23,4,0,1,1,12,Virginia,2011,0.08333333333333333,0.08333333333333333,0.8137785587340705,29.8,0.28945726165493285
33,2,34,BUF,Aaron Williams,DB,21,6,4,17,17,59,Texas,2011,0.288135593220339,0.288135593220339,0.8078945117422096,83.0,0.28647118511628517
44,2,45,DEN,Rahim Moore,DB,21,5,3,20,18,64,UCLA,2011,0.3125,0.28125,0.6848578864910403,87.3,0.2562250482631918
49,2,50,SDG,Marcus Gilchrist,DB,22,10,6,33,15,128,Clemson,2011,0.2578125,0.1171875,0.6154027812258229,76.8,0.2439824345263625
53,2,54,PHI,Jaiquawn Jarrett,DB,21,5,0,5,1,47,Temple,2011,0.10638297872340426,0.02127659574468085,0.5652976436621913,37.8,0.23482852472833157
59,2,60,HOU,Brandon Harris,DB,21,4,0,3,2,42,Miami (FL),2011,0.07142857142857142,0.047619047619047616,0.5136721337061669,23.5,0.22211793813635458
79,3,80,SFO,Chris Culliver,DB,23,5,1,12,10,52,South Carolina,2011,0.23076923076923078,0.19230769230769232,0.4485747742955596,69.9,0.1877824235868555
80,3,81,OAK,DeMarcus Van Dyke,DB,22,3,0,3,2,25,Miami (FL),2011,0.12,0.08,0.4473877233161172,42.1,0.186360646768222
87,3,88,NOR,Johnny Patrick,DB,23,3,0,4,2,37,Louisville,2011,0.10810810810810811,0.05405405405405406,0.4390783664600202,38.2,0.1771135274855927
88,3,89,SDG,Shareece Wright,DB,24,8,2,21,10,91,USC,2011,0.23076923076923078,0.10989010989010989,0.4378913154805777,69.9,0.17588953497968957
89,3,90,PHI,Curtis Marsh,DB,23,3,0,1,1,26,Utah St.,2011,0.038461538461538464,0.038461538461538464,0.4367042645011353,16.4,0.17468886479645818
92,3,93,CHI,Chris Conte,DB,22,8,7,28,17,104,California,2011,0.2692307692307692,0.16346153846153846,0.433143111562808,79.4,0.1712236754796401
94,3,95,PIT,Curtis Brown,DB,22,3,0,2,2,34,Texas,2011,0.058823529411764705,0.058823529411764705,0.4307690096039231,19.1,0.16902445425933682
97,4,98,CAR,Brandon Hogan,DB,23,1,0,0,0,3,West Virginia,2011,0.0,0.0,0.4272078566655959,7.9,0.1658857545089361
99,4,100,BUF,Da'Norris Searcy,DB,22,8,3,24,12,109,North Carolina,2011,0.22018348623853212,0.11009174311926606,0.424833754706711,67.9,0.1638964112416915
107,4,108,DEN,Quinton Carter,DB,23,4,1,5,5,30,Oklahoma,2011,0.16666666666666666,0.16666666666666666,0.4153373468711716,54.9,0.15671007051554775
112,4,113,OAK,Chimdi Chekwa,DB,22,6,0,2,2,35,Ohio St.,2011,0.05714285714285714,0.05714285714285714,0.4094020919739595,18.5,0.15279448991400008
117,4,118,KAN,Jalil Brown,DB,23,5,0,4,2,47,Colorado,2011,0.0851063829787234,0.0425531914893617,0.4034668370767473,30.9,0.14927520518997445
120,4,121,JAX,Chris Prosinski,DB,24,7,0,10,6,88,Wyoming,2011,0.11363636363636363,0.06818181818181818,0.3999056841384201,39.3,0.1473376703203662
126,4,127,HOU,Roc Carmichael,DB,22,3,0,2,0,19,Virginia Tech,2011,0.10526315789473684,0.0,0.3927833782617655,37.3,0.1438149614422185
127,4,128,PIT,Cortez Allen,DB,22,5,0,10,10,56,The Citadel,2011,0.17857142857142858,0.17857142857142858,0.3915963272823231,58.4,0.14326988821676323
130,4,131,GNB,Davon House,DB,22,8,2,17,9,87,New Mexico St.,2011,0.19540229885057472,0.10344827586206896,0.3880351743439958,62.6,0.1417005201413502
133,5,134,CIN,Robert Sands,DB,21,1,0,0,0,1,West Virginia,2011,0.0,0.0,0.3844740214056685,7.9,0.1402233927907418
136,5,137,CLE,Buster Skrine,DB,22,11,4,35,15,158,Chattanooga,2011,0.22151898734177214,0.0949367088607595,0.3809128684673412,68.0,0.13883010186642064
138,5,139,MIN,Brandon Burton,DB,22,3,0,1,1,23,Southern Utah,2011,0.043478260869565216,0.043478260869565216,0.3785387665084563,16.6,0.1379436667717157
142,5,143,DAL,Josh Thomas,DB,22,5,0,7,0,51,Buffalo,2011,0.13725490196078433,0.0,0.3737905625906866,47.1,0.13626141210257153
143,5,144,HOU,Shiloh Keo,DB,23,6,1,8,6,56,Idaho,2011,0.14285714285714285,0.10714285714285714,0.3726035116112442,48.7,0.13585791092516736
145,5,146,WAS,DeJon Gomes,DB,21,3,0,5,4,46,Nebraska,2011,0.10869565217391304,0.08695652173913043,0.3702294096523594,38.6,0.13506920466600902
146,5,147,JAX,Rod Issac,DB,22,1,0,0,0,3,Middle Tenn. St.,2011,0.0,0.0,0.3690423586729169,7.9,0.134683377043624
150,5,151,TAM,Ahmad Black,DB,21,3,0,3,3,24,Florida,2011,0.125,0.125,0.3642941547551472,43.4,0.1331896402946841
153,5,154,SEA,Richard Sherman,DB,23,11,9,97,82,144,Stanford,2011,0.6736111111111112,0.5694444444444444,0.36073300181682,99.9,0.1321126745917769
155,5,156,SEA,Mark LeGree,DB,22,0,0,0,0,0,Appalachian St.,2011,0.0,0.0,0.3583588998579351,7.9,0.13141066500120097
157,5,158,STL,Jermale Hines,DB,23,1,0,0,0,10,Ohio St.,2011,0.0,0.0,0.3559847978990502,7.9,0.13071852425677066
163,5,164,BAL,Chykie Brown,DB,24,6,0,5,3,59,Texas,2011,0.0847457627118644,0.05084745762711865,0.3488624920223957,30.8,0.12867641347511716
169,6,170,MIN,Mistral Raymond,DB,24,3,0,4,4,32,South Florida,2011,0.125,0.125,0.3417401861457411,43.4,0.12663347645792383
