,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
8,1,9,DAL,Tyron Smith,OT,20,13,10,89,89,161,USC,2011,0.5527950310559007,0.5527950310559007,1.9568413129788271,95.4,0.44106363464397036
16,1,17,NWE,Nate Solder,OT,23,11,9,64,49,146,Colorado,2011,0.4383561643835616,0.3356164383561644,1.28415298899627,83.8,0.4132579905423913
21,1,22,IND,Anthony Castonzo,OT,23,10,10,58,58,144,Boston Col.,2011,0.4027777777777778,0.4027777777777778,1.1949311776106772,75.4,0.3975922949072193
24,1,25,SEA,James Carpenter,OT,22,11,10,49,17,132,Alabama,2011,0.3712121212121212,0.12878787878787878,1.1845211921556298,71.7,0.3887502969739426
28,1,29,CHI,Gabe Carimi,OT,23,4,1,12,7,48,Wisconsin,2011,0.25,0.14583333333333334,1.1120215754974585,47.3,0.3775551053046122
31,1,32,GNB,Derek Sherrod,OT,22,4,0,3,3,20,Mississippi St.,2011,0.15,0.15,0.9270117884088208,25.6,0.36957291282701676
45,2,46,DEN,Orlando Franklin,OT,23,7,6,42,31,90,Miami (FL),2011,0.4666666666666667,0.34444444444444444,0.6708735229917215,89.6,0.33638463061763474
48,2,49,IND,Ben Ijalana,OT,22,7,1,6,0,34,Villanova,2011,0.17647058823529413,0.0,0.6290080071395884,30.0,0.33003371749524685
62,2,63,PIT,Marcus Gilbert,OT,23,8,5,36,36,88,Florida,2011,0.4090909090909091,0.4090909090909091,0.504078108373719,76.5,0.30331018859235953
84,3,85,BAL,Jah Reid,OT,23,6,2,10,5,61,Central Florida,2011,0.16393442622950818,0.08196721311475409,0.4426395193983474,27.5,0.26907284846629337
91,3,92,OAK,Joe Barksdale,OT,23,8,5,35,1,106,LSU,2011,0.330188679245283,0.009433962264150943,0.4343301625422505,60.8,0.25974387842471586
116,4,117,NYG,James Brewer,OT,23,4,0,4,4,26,Indiana,2011,0.15384615384615385,0.15384615384615385,0.4046538880561898,26.9,0.2311249938310873
121,4,122,BUF,Chris Hairston,OT,22,7,2,17,8,74,Clemson,2011,0.22972972972972974,0.10810810810810811,0.3987186331589776,42.5,0.22614168276323038
137,5,138,NWE,Marcus Cannon,OT,23,12,5,43,42,124,TCU,2011,0.3467741935483871,0.3387096774193548,0.3797258174878988,65.8,0.21154595391820383
149,5,150,CLE,Jason Pinkston,OT,24,3,1,10,10,25,Pittsburgh,2011,0.4,0.4,0.3654812057345896,74.6,0.20177850110004406
174,6,175,TEN,Byron Stingily,OT,22,4,0,4,4,20,Louisville,2011,0.2,0.2,0.3418748231279675,37.7,0.18407235921837645
213,7,214,HOU,Derek Newton,OT,23,8,4,28,28,83,Arkansas St.,2011,0.3373493975903614,0.3373493975903614,0.3329844999563661,63.8,0.16190859367927563
243,7,244,CAR,Lee Ziemba,OT,22,1,0,1,1,6,Auburn,2011,0.16666666666666666,0.16666666666666666,0.326145789824365,28.1,0.14818361143473924
257,1,4,MIN,Matt Kalil,OT,23,6,5,34,29,82,USC,2012,0.4146341463414634,0.35365853658536583,2.804703300945323,78.3,0.46042568104626236
276,1,23,DET,Riley Reiff,OT,23,12,10,60,27,164,Iowa,2012,0.36585365853658536,0.16463414634146342,1.191333050211584,69.8,0.39460060779618455
290,2,37,CLE,Mitchell Schwartz,OT,23,9,8,75,18,134,California,2012,0.5597014925373134,0.13432835820895522,0.7834016484643622,96.2,0.3569937647610027
295,2,42,MIA,Jonathan Martin,OT,22,3,2,14,10,38,Stanford,2012,0.3684210526315789,0.2631578947368421,0.7255513827838056,70.6,0.3452427423667274
297,2,44,KAN,Jeff Allen,OT,22,8,4,27,19,84,Illinois,2012,0.32142857142857145,0.2261904761904762,0.6986964685204957,58.8,0.3407561285456627
309,2,56,PIT,Mike Adams,OT,22,5,1,11,11,53,Ohio St.,2012,0.20754716981132076,0.20754716981132076,0.5441817033862497,39.6,0.3161081621948196
313,2,60,BAL,Kelechi Osemele,OT,23,9,6,47,20,101,Iowa St.,2012,0.46534653465346537,0.19801980198019803,0.5136721337061669,89.2,0.30866590252411064
327,3,74,KAN,Donald Stephenson,OT,23,6,1,18,12,80,Oklahoma,2012,0.225,0.15,0.4556970801722141,41.0,0.2851675578395307
344,3,91,ATL,Lamar Holmes,OT,23,3,1,10,10,21,Southern Miss,2012,0.47619047619047616,0.47619047619047616,0.4355172135216929,92.1,0.26103678604681846
