,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
27,1,28,NOR,Mark Ingram,RB,21,12,5,66,51,156,Alabama,2011,0.4230769230769231,0.3269230769230769,1.1434311470994958,86.2,0.45939485119100887
37,2,38,ARI,Ryan Williams,RB,21,2,0,1,1,5,Virginia Tech,2011,0.2,0.2,0.7732778744259949,53.2,0.42606333240026373
55,2,56,NWE,Shane Vereen,RB,22,7,1,25,16,79,California,2011,0.31645569620253167,0.20253164556962025,0.5441817033862497,73.9,0.3689483194267634
56,2,57,DET,Mikel Leshoure,RB,21,3,1,5,5,17,Illinois,2011,0.29411764705882354,0.29411764705882354,0.5349446825875015,68.4,0.3659055886071573
61,2,62,MIA,Daniel Thomas,RB,23,4,0,11,11,52,Kansas St.,2011,0.21153846153846154,0.21153846153846154,0.5058181258460449,55.5,0.3509215638727086
70,3,71,DAL,DeMarco Murray,RB,23,7,7,60,40,99,Oklahoma,2011,0.6060606060606061,0.40404040404040403,0.4592582331105415,97.5,0.32496518778683153
72,3,73,NWE,Stevan Ridley,RB,22,8,1,25,23,73,LSU,2011,0.3424657534246575,0.3150684931506849,0.4568841311516566,77.0,0.31938250433037213
95,3,96,GNB,Alex Green,RB,23,3,0,5,5,29,Hawaii,2011,0.1724137931034483,0.1724137931034483,0.4295819586244808,48.9,0.26033430819743164
104,4,105,WAS,Roy Helu,RB,22,5,1,13,13,57,Nebraska,2011,0.22807017543859648,0.22807017543859648,0.4188984998094989,57.2,0.2398860437009758
114,4,115,SFO,Kendall Hunter,RB,22,5,0,12,12,45,Oklahoma St.,2011,0.26666666666666666,0.26666666666666666,0.4070279900150746,62.9,0.21892430792850512
118,4,119,IND,Delone Carter,RB,24,3,0,3,3,27,Syracuse,2011,0.1111111111111111,0.1111111111111111,0.4022797860973049,37.1,0.21105043972499674
123,4,124,CLE,Owen Marecic,RB,22,2,0,0,0,24,Stanford,2011,0.0,0.0,0.3963445312000928,10.2,0.20161086553115923
124,4,125,OAK,Taiwan Jones,RB,23,13,0,3,3,139,Eastern Washington,2011,0.02158273381294964,0.02158273381294964,0.3951574802206503,20.8,0.19977599007290114
125,4,126,NYJ,Bilal Powell,RB,22,9,3,26,26,109,Louisville,2011,0.23853211009174313,0.23853211009174313,0.3939704292412079,58.7,0.1979586261728877
129,4,130,TEN,Jamie Harper,RB,21,2,0,1,1,23,Clemson,2011,0.043478260869565216,0.043478260869565216,0.3892222253234382,24.0,0.19086273625693156
132,5,133,BUF,Johnny White,RB,23,2,0,0,0,19,North Carolina,2011,0.0,0.0,0.3856610723851109,10.2,0.18572077976357973
135,5,136,ARI,Anthony Sherman,RB,22,10,3,5,1,153,Connecticut,2011,0.032679738562091505,0.006535947712418301,0.3820999194467837,21.9,0.18073049261279975
144,5,145,ATL,Jacquizz Rodgers,RB,21,8,0,24,17,110,Oregon St.,2011,0.21818181818181817,0.15454545454545454,0.3714164606318018,56.5,0.16664455942480472
148,5,149,PHI,Dion Lewis,RB,20,10,2,31,1,102,Pittsburgh,2011,0.30392156862745096,0.00980392156862745,0.3666682567140321,70.0,0.16079655118096897
176,6,177,WAS,Evan Royster,RB,23,3,0,4,4,32,Penn St.,2011,0.125,0.125,0.3414189091191674,38.9,0.12631228073267514
182,6,183,SDG,Jordan Todman,RB,21,7,0,5,0,74,Connecticut,2011,0.06756756756756757,0.0,0.3400511670927672,29.7,0.12024829877339463
186,6,187,TAM,Allen Bradford,RB,23,5,0,1,0,19,USC,2011,0.05263157894736842,0.0,0.3391393390751671,26.3,0.1164373812850982
219,7,220,DAL,Shaun Chapas,RB,23,2,0,0,0,6,Georgia,2011,0.0,0.0,0.3316167579299659,10.2,0.09114964078346233
220,7,221,NYG,Da'Rel Scott,RB,23,3,0,1,1,20,Maryland,2011,0.05,0.05,0.3313888009255659,25.8,0.0905332969232622
222,7,223,KAN,Shane Bannon,RB,22,0,0,0,0,0,Yale,2011,0.0,0.0,0.3309328869167658,10.2,0.08932372792991984
