,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
119,4,120,PHI,Alex Henery,K,24,4,0,8,9,50,Nebraska,2011,0.16,0.18,0.4010927351178625,82.2,0.10814387307072329
191,6,192,ATL,Matthew Bosher,K,23,9,0,14,14,130,Miami (FL),2011,0.1076923076923077,0.1076923076923077,0.3379995540531669,58.9,0.08163500565605165
323,3,70,JAX,Bryan Anger,P,23,12,1,22,11,193,California,2012,0.11398963730569948,0.05699481865284974,0.4604452840899838,61.6,0.13146534605403737
414,5,161,HOU,Randy Bullock,K,22,12,1,20,3,144,Texas A&M,2012,0.1388888888888889,0.020833333333333332,0.352423644960723,74.7,0.0921421276510605
424,6,171,STL,Greg Zuerlein,K,24,12,1,29,20,184,Missouri Western St.,2012,0.15760869565217392,0.10869565217391304,0.3405531351662987,80.8,0.08861278015210321
428,6,175,MIN,Blair Walsh,K,22,6,0,14,13,89,Georgia,2012,0.15730337078651685,0.14606741573033707,0.3418748231279675,79.5,0.08723918764006655
460,6,207,CAR,Brad Nortman,P,22,6,0,11,7,96,Wisconsin,2012,0.11458333333333333,0.07291666666666667,0.3345801989871664,63.0,0.07698987531737954
504,7,251,BUF,John Potter,K,22,2,0,0,0,9,Western Michigan,2012,0.0,0.0,0.3245500907935648,15.1,0.06483378419355058
661,5,155,MIN,Jeff Locke,P,23,5,0,6,6,69,UCLA,2013,0.08695652173913043,0.08695652173913043,0.3595459508373775,50.7,0.09432685630683707
671,5,165,DET,Sam Martin,P,23,11,1,20,15,172,Appalachian St.,2013,0.11627906976744186,0.0872093023255814,0.3476754410429532,64.4,0.09071382649216024
672,5,166,MIA,Caleb Sturgis,K,24,6,0,8,4,68,Florida,2013,0.11764705882352941,0.058823529411764705,0.3464883900635108,67.8,0.09036022410491493
683,6,177,BUF,Dustin Hopkins,K,22,11,0,22,0,124,Florida St.,2013,0.1774193548387097,0.0,0.3414189091191674,90.4,0.08656039668840988
710,6,204,KAN,Braden Wilson,FB,23,0,0,0,0,0,Kansas St.,2013,0.0,0.0,0.3352640700003665,15.1,0.07789725939803797
951,6,191,CHI,Pat O'Donnell,P,23,9,1,15,15,145,Miami (FL),2014,0.10344827586206896,0.10344827586206896,0.338227511057567,56.2,0.08195446405900171
971,6,211,HOU,Jay Prosch,FB,22,4,2,0,0,63,Auburn,2014,0.0,0.0,0.3336683709695662,15.1,0.07579645021484846
988,7,228,WAS,Zach Hocker,K,23,2,0,0,0,8,Arkansas,2014,0.0,0.0,0.3297931018947656,15.1,0.07092734136322905
989,7,229,DET,Nate Freese,K,24,1,0,0,0,3,Boston Col.,2014,0.0,0.0,0.3295651448903656,15.1,0.07065086667136754
1005,7,245,SFO,Trey Millard,FB,23,0,0,0,0,0,Oklahoma,2014,0.0,0.0,0.325917832819965,15.1,0.06637102052399964
1124,4,108,TEN,Jalston Fowler,FB,25,3,1,0,0,42,Alabama,2015,0.0,0.0,0.4153373468711716,15.1,0.11333294339259117
1181,5,165,SFO,Bradley Pinion,P,21,9,1,12,5,145,Clemson,2015,0.08275862068965517,0.034482758620689655,0.3476754410429532,47.9,0.09071382649216024
1182,5,166,NWE,Joe Cardona,LS,23,9,0,7,7,144,Navy,2015,0.04861111111111111,0.04861111111111111,0.3464883900635108,37.0,0.09036022410491493
1184,5,168,DET,Michael Burton,FB,23,9,1,0,0,130,Rutgers,2015,0.0,0.0,0.3441142881046259,15.1,0.08965714898269869
1222,6,206,GNB,Aaron Ripkowski,FB,22,3,0,2,2,47,Oklahoma,2015,0.0425531914893617,0.0425531914893617,0.3348081559915664,35.6,0.0772911561516804
1247,7,231,TAM,Joey Iosefa,FB,24,1,0,0,0,2,Hawaii,2015,0.0,0.0,0.3291092308815655,15.1,0.0701011461808342
1331,2,59,TAM,Roberto Aguayo,K,22,1,0,0,0,16,Florida St.,2016,0.0,0.0,0.5195936714009588,15.1,0.13723641048266594
1448,6,176,DEN,Andy Janovich,FB,23,6,1,2,2,77,Nebraska,2016,0.025974025974025976,0.025974025974025976,0.3416468661235675,32.9,0.08689912939091382
1451,6,179,SDG,Drew Kaser,P,23,3,0,5,5,36,Texas A&M,2016,0.1388888888888889,0.1388888888888889,0.3409629951103674,74.7,0.0858868872755721
1469,6,197,TAM,Danny Vitale,FB,22,4,1,1,0,44,Northwestern,2016,0.022727272727272728,0.0,0.3368597690311667,31.5,0.08005629557222331
