,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
3,1,4,CIN,A.J. Green,WR,23,12,10,77,71,158,Georgia,2011,0.4873417721518987,0.44936708860759494,2.804703300945323,92.5,0.445455717231506
5,1,6,ATL,Julio Jones,WR,22,13,9,101,97,166,Alabama,2011,0.608433734939759,0.5843373493975904,2.426907067884444,97.1,0.43676927425483986
25,1,26,KAN,Jonathan Baldwin,WR,22,3,1,4,4,33,Pittsburgh,2011,0.12121212121212122,0.12121212121212122,1.177204659784112,43.6,0.35878686801289084
43,2,44,DET,Titus Young,WR,22,2,2,8,8,26,Boise St.,2011,0.3076923076923077,0.3076923076923077,0.6986964685204957,78.8,0.3013101564036597
57,2,58,BAL,Torrey Smith,WR,22,8,7,37,28,119,Maryland,2011,0.31092436974789917,0.23529411764705882,0.5267165964769047,79.4,0.26399240292325415
58,2,59,CLE,Greg Little,WR,22,4,3,12,12,54,North Carolina,2011,0.2222222222222222,0.2222222222222222,0.5195936714009588,66.3,0.26155425779882674
63,2,64,GNB,Randall Cobb,WR,21,13,5,64,56,166,Kentucky,2011,0.3855421686746988,0.3373493975903614,0.5039243836685503,84.7,0.24979422554839742
77,3,78,STL,Austin Pettis,WR,23,4,0,8,8,51,Boise St.,2011,0.1568627450980392,0.1568627450980392,0.4509488762544444,52.8,0.22047105017014645
78,3,79,WAS,Leonard Hankerson,WR,22,5,1,12,9,41,Miami (FL),2011,0.2926829268292683,0.21951219512195122,0.449761825275002,76.8,0.21856776030948719
81,3,82,SDG,Vincent Brown,WR,22,5,1,9,8,38,San Diego St.,2011,0.23684210526315788,0.21052631578947367,0.4462006723366747,70.2,0.21300218421357786
82,3,83,NYG,Jerrel Jernigan,WR,22,4,0,2,2,34,Troy,2011,0.058823529411764705,0.058823529411764705,0.4450136213572323,28.6,0.21119428587631445
106,4,107,SEA,Kris Durham,WR,23,4,1,5,0,27,Georgia,2011,0.18518518518518517,0.0,0.416524397850614,59.3,0.17422330744207853
110,4,111,MIA,Clyde Gates,WR,25,3,0,3,0,32,Abilene Christian,2011,0.09375,0.0,0.4117761939328443,36.9,0.16912902158738746
111,4,112,STL,Greg Salas,WR,23,6,0,4,1,29,Hawaii,2011,0.13793103448275862,0.034482758620689655,0.4105891429534019,47.9,0.16789727836145935
113,4,114,JAX,Cecil Shorts,WR,23,6,4,19,14,70,Mount Union,2011,0.2714285714285714,0.2,0.408215040994517,73.4,0.16548229711353202
122,4,123,BAL,Tandon Doss,WR,21,3,0,4,4,35,Indiana,2011,0.11428571428571428,0.11428571428571428,0.3975315821795352,41.2,0.1553674518040859
131,5,132,CAR,Kealoha Pilares,WR,23,2,0,1,1,20,Hawaii,2011,0.05,0.05,0.3868481233645534,26.8,0.1463538154722816
147,5,148,OAK,Denarius Moore,WR,22,5,3,15,15,57,Tennessee,2011,0.2631578947368421,0.2631578947368421,0.3678553076934745,72.2,0.1325017965087657
152,5,153,NYJ,Jeremy Kerley,WR,22,8,4,23,19,99,TCU,2011,0.23232323232323232,0.1919191919191919,0.3619200527962624,69.0,0.12861659812390253
154,5,155,WAS,Niles Paul,WR,22,8,1,7,6,88,Nebraska,2011,0.07954545454545454,0.06818181818181818,0.3595459508373775,33.2,0.12710871321832623
166,6,167,CIN,Ryan Whalen,WR,22,3,0,0,0,17,Stanford,2011,0.0,0.0,0.3453013390840684,11.6,0.1184873973815806
175,6,176,DAL,Dwayne Harris,WR,23,10,0,12,6,109,East Carolina,2011,0.11009174311926606,0.05504587155963303,0.3416468661235675,40.4,0.11232587477907968
177,6,178,WAS,Aldrick Robinson,WR,22,8,0,12,5,82,SMU,2011,0.14634146341463414,0.06097560975609756,0.3411909521147674,49.9,0.11097174323029063
181,6,182,SFO,Ronald Johnson,WR,23,0,0,0,0,0,USC,2011,0.0,0.0,0.3402791240971672,11.6,0.10826547375324597
226,7,227,NYJ,Scotty McKnight,WR,23,0,0,0,0,0,Colorado,2011,0.0,0.0,0.3300210588991656,11.6,0.07348166166908687
235,7,236,MIN,Stephen Burton,WR,21,3,0,0,0,19,Long Beach CC,2011,0.0,0.0,0.3279694458595653,11.6,0.06443536038681613
240,7,241,OAK,David Ausberry,WR,23,4,0,1,1,34,USC,2011,0.029411764705882353,0.029411764705882353,0.3268296608375651,24.1,0.058942621396669226
248,7,249,ARI,DeMarco Sampson,WR,25,1,0,0,0,12,San Diego St.,2011,0.0,0.0,0.3250060048023648,11.6,0.04936839365936718
258,1,5,JAX,Justin Blackmon,WR,22,2,1,9,9,20,Oklahoma St.,2012,0.45,0.45,2.609695256679512,89.6,0.441091464985389
266,1,13,ARI,Michael Floyd,WR,22,7,3,28,27,102,Notre Dame,2012,0.27450980392156865,0.2647058823529412,1.5194779461629129,74.6,0.4076713974005214
273,1,20,TEN,Kendall Wright,WR,22,6,3,28,24,82,Baylor,2012,0.34146341463414637,0.2926829268292683,1.211706596469893,81.6,0.380539968652609
