,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
14,1,15,MIA,Mike Pouncey,G,22,9,7,52,40,114,Florida,2011,0.45614035087719296,0.3508771929824561,1.3788177427827848,88.8,0.4603290238455839
22,1,23,PHI,Danny Watkins,G,26,3,1,9,9,24,Baylor,2011,0.375,0.375,1.191333050211584,75.0,0.43856522686134297
47,2,48,OAK,Stefen Wisniewski,C,22,10,6,41,21,139,Penn St.,2011,0.2949640287769784,0.1510791366906475,0.6428523569694944,55.1,0.37475509578067195
54,2,55,KAN,Rodney Hudson,C,22,12,9,61,13,159,Florida St.,2011,0.3836477987421384,0.08176100628930817,0.5543314325266464,77.2,0.35818872084178716
74,3,75,SEA,John Moffitt,G,24,3,1,6,6,19,Wisconsin,2011,0.3157894736842105,0.3157894736842105,0.4545100291927717,59.0,0.31432044903167633
75,3,76,JAX,Will Rackley,G,21,3,2,8,8,26,Lehigh,2011,0.3076923076923077,0.3076923076923077,0.4533229782133293,56.8,0.31226557422693524
100,4,101,CIN,Clint Boling,G,22,8,7,46,46,111,Georgia,2011,0.4144144144144144,0.4144144144144144,0.4236467037272686,83.5,0.2652363998810301
109,4,110,DAL,David Arkin,G,23,6,0,0,0,3,Missouri State,2011,0.0,0.0,0.4129632449122867,8.1,0.2503250851777173
160,5,161,PHI,Julian Vandervelde,G,23,5,0,1,1,18,Iowa,2011,0.05555555555555555,0.05555555555555555,0.352423644960723,16.4,0.1842272976829905
162,5,163,SFO,Daniel Kilgore,G,23,10,3,26,17,98,Appalachian St.,2011,0.2653061224489796,0.17346938775510204,0.3500495430018381,49.3,0.18220777953194967
171,6,172,MIN,Brandon Fusco,C,23,8,6,35,24,90,Slippery Rock,2011,0.3888888888888889,0.26666666666666666,0.3393660841868562,77.9,0.17358696322039674
178,6,179,GNB,Caleb Schlauderaff,G,23,3,0,1,0,12,Southern Utah,2011,0.08333333333333333,0.0,0.3409629951103674,18.9,0.16738727678392695
190,6,191,PHI,Jason Kelce,C,23,13,11,103,103,193,Cincinnati,2011,0.533678756476684,0.533678756476684,0.338227511057567,97.4,0.15771616938370853
195,6,196,PIT,Keith Williams,G,23,2,0,0,0,2,Nebraska,2011,0.0,0.0,0.3370877260355668,8.1,0.15402076577347862
200,6,201,SDG,Stephen Schilling,G,23,4,0,5,3,26,Michigan,2011,0.19230769230769232,0.11538461538461539,0.3359479410135666,35.7,0.15051011492452962
216,7,217,WAS,Maurice Hurt,G,23,2,1,6,6,21,Florida,2011,0.2857142857142857,0.2857142857142857,0.332300628943166,52.9,0.14042729245561253
238,7,239,SFO,Michael Person,G,23,9,3,23,15,73,Montana St.,2011,0.3150684931506849,0.2054794520547945,0.3272855748463652,58.5,0.12907978115051097
251,7,252,DAL,Bill Nagy,G,23,1,0,2,2,4,Wisconsin,2011,0.5,0.5,0.3243221337891647,93.2,0.12353843754321964
277,1,24,PIT,David DeCastro,G,22,9,8,69,69,125,Stanford,2012,0.552,0.552,1.1885232500797258,98.2,0.435886067682346
280,1,27,CIN,Kevin Zeitler,G,22,12,11,61,31,182,Wisconsin,2012,0.33516483516483514,0.17032967032967034,1.1643098047142706,64.3,0.4279069887494391
293,2,40,CAR,Amini Silatolu,G,23,7,1,18,18,54,Midwestern St.,2012,0.3333333333333333,0.3333333333333333,0.7506684550096423,63.6,0.39441593123712854
294,2,41,BUF,Cordy Glenn,G,22,8,6,38,31,97,Georgia,2012,0.3917525773195876,0.31958762886597936,0.7383752623246587,78.7,0.3919171853764626
308,2,55,ATL,Peter Konz,C,23,3,2,16,16,39,Wisconsin,2012,0.41025641025641024,0.41025641025641024,0.5543314325266464,82.4,0.35818872084178716
324,3,71,WAS,Josh LeRibeus,G,23,7,1,11,8,50,SMU,2012,0.22,0.16,0.4592582331105415,41.5,0.32267328119731126
329,3,76,HOU,Brandon Brooks,G,23,10,7,50,15,114,Miami (OH),2012,0.43859649122807015,0.13157894736842105,0.4533229782133293,87.9,0.31226557422693524
351,4,98,BAL,Gino Gradkowski,G,23,7,1,11,9,60,Delaware,2012,0.18333333333333332,0.15,0.4272078566655959,34.2,0.27044130875218814
352,4,99,HOU,Ben Jones,C,23,11,10,58,16,172,Georgia,2012,0.3372093023255814,0.09302325581395349,0.4260208056861534,65.6,0.2686931963657852
370,4,117,SFO,Joe Looney,G,22,9,2,21,3,104,Wake Forest,2012,0.20192307692307693,0.028846153846153848,0.4046538880561898,38.6,0.23944358823561568
394,5,141,WAS,Adam Gettis,G,23,5,0,1,1,17,Iowa,2012,0.058823529411764705,0.058823529411764705,0.3761646645495715,16.9,0.20665284517640642
402,5,149,SDG,Johnnie Troutman,G,24,3,2,14,14,29,Penn St.,2012,0.4827586206896552,0.4827586206896552,0.3666682567140321,91.9,0.19718089134741135
403,5,150,STL,Rokevious Watkins,G,23,2,0,1,0,4,South Carolina,2012,0.25,0.0,0.3654812057345896,46.7,0.1960450384152856
404,5,151,ARI,Senio Kelemete,G,22,10,1,25,0,97,Washington,2012,0.25773195876288657,0.0,0.3642941547551472,48.5,0.19491966236111724
413,5,160,CLE,Ryan Miller,G,23,1,0,1,1,8,Colorado,2012,0.125,0.125,0.3536106959401653,26.3,0.1852516192758849
431,6,178,BUF,Mark Asper,G,26,2,0,0,0,7,Oregon,2012,0.0,0.0,0.3411909521147674,8.1,0.1682468917483487
432,6,179,NOR,Andrew Tiller,G,23,5,0,6,0,28,Syracuse,2012,0.21428571428571427,0.0,0.3409629951103674,40.8,0.16738727678392695
453,6,200,PHI,Brandon Washington,G,24,2,0,0,0,1,Miami (FL),2012,0.0,0.0,0.3361758980179666,8.1,0.15119784451337326
479,7,226,SDG,David Molk,C,23,4,0,3,1,20,Michigan,2012,0.15,0.05,0.3302490159035657,30.5,0.13546001635724925
513,1,7,ARI,Jonathan Cooper,G,23,6,2,16,7,46,North Carolina,2013,0.34782608695652173,0.15217391304347827,2.256907518223489,67.8,0.4826263886250273
516,1,10,TEN,Chance Warmack,G,21,6,3,22,20,68,Alabama,2013,0.3235294117647059,0.29411764705882354,1.827204066743292,61.0,0.47420743155770556
526,1,20,CHI,Kyle Long,G,24,7,6,40,40,77,Oregon,2013,0.5194805194805194,0.5194805194805194,1.211706596469893,95.6,0.44665921099902195
537,1,31,DAL,Travis Frederick,C,22,7,6,60,60,96,Wisconsin,2013,0.625,0.625,1.0067130865837308,99.3,0.4174092867291517
571,3,65,DET,Larry Warford,G,22,7,7,52,22,101,Kentucky,2013,0.5148514851485149,0.21782178217821782,0.466380538987196,95.2,0.3356002579767445
578,3,72,NYJ,Brian Winters,G,22,9,7,31,27,107,Kent St.,2013,0.2897196261682243,0.2523364485981308,0.458071182131099,54.0,0.3205651071092337
592,3,86,IND,Hugh Thornton,G,22,3,3,16,16,37,Illinois,2013,0.43243243243243246,0.43243243243243246,0.441452468418905,86.8,0.2924528795598647
613,4,107,TEN,Brian Schwenke,C,22,6,2,14,14,60,California,2013,0.23333333333333334,0.23333333333333334,0.416524397850614,43.4,0.2551792171442766
619,4,113,STL,Barrett Jones,G,23,2,0,0,0,10,Alabama,2013,0.0,0.0,0.4094020919739595,8.1,0.2455858552087467
622,4,116,ARI,Earl Watford,G,23,7,1,15,11,71,James Madison,2013,0.2112676056338028,0.15492957746478872,0.4058409390356322,40.1,0.2409603597136472
627,4,121,IND,Khaled Holmes,C,23,3,0,4,4,17,USC,2013,0.23529411764705882,0.23529411764705882,0.3999056841384201,43.8,0.23350051018743062
676,6,170,KAN,Eric Kush,C,23,8,0,10,1,50,California (PA),2013,0.2,0.02,0.3417401861457411,37.1,0.17543809421725998
679,6,173,DEN,Vinston Painter,G,23,5,0,0,0,14,Virginia Tech,2013,0.0,0.0,0.3381790332074138,8.1,0.1726749003571233
702,6,196,MIN,Jeff Baca,G,23,1,0,0,0,4,UCLA,2013,0.0,0.0,0.3370877260355668,8.1,0.15402076577347862
720,7,214,MIN,Travis Bond,G,22,1,0,0,0,2,North Carolina,2013,0.0,0.0,0.3329844999563661,8.1,0.14219123914543935
726,7,220,SEA,Ryan Seymour,G,23,4,0,2,0,12,Vanderbilt,2013,0.16666666666666666,0.0,0.3316167579299659,32.7,0.13871844898357982
757,7,251,CIN,T.J. Johnson,C,23,5,0,5,5,45,South Carolina,2013,0.1111111111111111,0.1111111111111111,0.3245500907935648,23.0,0.12393729915886473
776,1,16,DAL,Zack Martin,G,23,10,9,102,102,152,Notre Dame,2014,0.6710526315789473,0.6710526315789473,1.326141996887744,100.0,0.45757776037542414
793,2,33,HOU,Xavier Su'a-Filo,G,23,8,3,24,17,83,UCLA,2014,0.2891566265060241,0.20481927710843373,0.8137785587340705,53.7,0.4122231050450368
795,2,35,CLE,Joel Bitonio,G,22,10,8,71,71,144,Nevada,2014,0.4930555555555556,0.4930555555555556,0.8008061934689708,92.6,0.4070799425647271
830,3,70,SFO,Marcus Martin,C,20,7,2,11,11,29,USC,2014,0.3793103448275862,0.3793103448275862,0.4604452840899838,76.1,0.3247947325175267
836,3,76,DET,Travis Swanson,C,23,5,4,23,20,65,Arkansas,2014,0.35384615384615387,0.3076923076923077,0.4533229782133293,69.5,0.31226557422693524
