,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
47,Jaire Alexander,CB,Packers,84000000,21000000,30000000,7500000,35.7,9.342,0.4507042253521127,2018.0,18.0,96.3,6.708
53,Denzel Ward,CB,Browns,100500000,20100000,44500000,8900000,44.3,8.941,0.45569620253164556,2018.0,4.0,96.5,6.771
60,Jalen Ramsey,CB,Dolphins,100000000,20000000,43703000,8740600,43.7,8.896999999999998,0.6186440677966102,2016.0,5.0,99.4,7.929
65,Marlon Humphrey,CB,Ravens,97500000,19500000,39957407,7991481,41.0,8.674,0.49,2017.0,16.0,97.4,7.074
66,Trevon Diggs,CB,Cowboys,97000000,19400000,33304000,6660800,34.3,8.63,0.5957446808510638,2020.0,51.0,99.1,7.781
67,Marshon Lattimore,CB,Saints,97000000,19400000,44346588,8869318,45.7,8.63,0.4444444444444444,2017.0,11.0,96.0,6.618
70,Derwin James,S,Chargers,76000000,19000000,38584471,9646118,50.8,8.452,0.4393939393939394,2018.0,17.0,95.9,6.589
76,Minkah Fitzpatrick,S,Steelers,72988000,18247000,36000000,9000000,49.3,8.117,0.5842696629213483,2018.0,11.0,98.8,7.641
78,Xavien Howard,CB,Dolphins,90000000,18000000,36300000,7260000,40.3,8.007,0.56,2016.0,38.0,98.6,7.551
85,Jamal Adams,S,Seahawks,70000000,17500000,21000000,5250000,30.0,7.785,0.5375,2017.0,6.0,98.2,7.382
90,Tre'Davious White,CB,Bills,69000000,17250000,36700000,9175000,53.2,7.673000000000001,0.5853658536585366,2017.0,27.0,99.0,7.733
113,Jessie Bates III,S,Falcons,64020000,16005000,36000000,9000000,56.2,7.12,0.4270833333333333,2018.0,54.0,95.3,6.421
116,Harrison Smith,S,Vikings,64000000,16000000,14179412,3544853,22.2,7.117,0.38636363636363635,2012.0,29.0,93.5,5.984
119,Justin Simmons,S,Broncos,61000000,15250000,32100000,8025000,52.6,6.784,0.4745762711864407,2016.0,98.0,96.6,6.803
131,Carlton Davis,CB,Buccaneers,44500000,14833333,24500000,8166667,55.1,6.598,0.34210526315789475,2018.0,63.0,90.9,5.487
132,Eddie Jackson,S,Bears,58400000,14600000,22000000,5500000,37.7,6.494999999999999,0.45,2017.0,112.0,96.2,6.678
140,Budda Baker,S,Cardinals,28200000,14100000,13400000,6700000,47.5,6.272,0.4857142857142857,2017.0,36.0,97.1,6.969
144,Darius Slay,CB,Eagles,42000000,14000000,23000000,7666667,54.8,6.228,0.37423312883435583,2013.0,36.0,93.1,5.899
142,Marcus Williams,S,Ravens,70000000,14000000,17080000,3416000,24.4,6.228,0.30927835051546393,2017.0,42.0,86.2,4.834
163,Adoree' Jackson,CB,Giants,39000000,13000000,24500000,8166667,62.8,5.783,0.30120481927710846,2017.0,18.0,85.3,4.734
