,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
26,Laremy Tunsil,OT,Texans,75000000,25000000,50000000,16666667,66.7,11.121,0.4537037037037037,2016.0,13.0,86.2,7.748
38,Andrew Thomas,OT,Giants,117500000,23500000,67000000,13400000,57.0,10.454,0.4727272727272727,2020.0,4.0,91.7,8.218
41,David Bakhtiari,OT,Packers,92000000,23000000,30000000,7500000,32.6,10.231,0.648854961832061,2013.0,109.0,99.2,8.959
52,Lane Johnson,OT,Eagles,80750000,20187500,30000000,7500000,37.2,8.98,0.5524475524475524,2013.0,4.0,95.0,8.528
59,Jawaan Taylor,OT,Chiefs,80000000,20000000,40000000,10000000,50.0,8.896999999999998,0.39759036144578314,2019.0,35.0,73.8,6.863
64,Ronnie Stanley,OT,Ravens,98750000,19750000,64116000,12823200,64.9,8.786,0.5632183908045977,2016.0,6.0,96.7,8.697
68,Ryan Ramczyk,OT,Saints,96000000,19200000,43014824,8602965,44.8,8.541,0.6435643564356436,2017.0,32.0,98.8,8.916
71,Tytus Howard,OT,Texans,56000000,18666667,36002000,12000667,64.3,8.304,0.4262295081967213,2019.0,23.0,81.7,7.402
72,Brian O'Neill,OT,Vikings,92500000,18500000,22576118,4515224,24.4,8.23,0.45161290322580644,2018.0,62.0,85.4,7.684
73,Jake Matthews,OT,Falcons,55500000,18500000,26558823,8852941,47.9,8.23,0.42592592592592593,2014.0,6.0,81.2,7.365
77,Kolton Miller,OT,Raiders,54015000,18005000,25000000,8333333,46.3,8.009,0.40217391304347827,2018.0,15.0,75.0,6.94
83,Cam Robinson,OT,Jaguars,52750000,17583333,33000000,11000000,62.6,7.822,0.40476190476190477,2017.0,34.0,75.8,6.992
88,Mike McGlinchey,OT,Broncos,87500000,17500000,35000000,7000000,40.0,7.785,0.43529411764705883,2018.0,9.0,82.9,7.491
92,D.J. Humphries,OT,Cardinals,51000000,17000000,28823529,9607843,56.5,7.562,0.4489795918367347,2015.0,24.0,84.6,7.621
95,Garett Bolles,OT,Broncos,68000000,17000000,21000000,5250000,30.9,7.562,0.41414141414141414,2017.0,20.0,77.7,7.119
117,Jordan Mailata,OT,Eagles,64000000,16000000,18850000,4712500,29.5,7.117,0.43548387096774194,2018.0,233.0,83.3,7.521
125,Terron Armstead,OT,Dolphins,75000000,15000000,30120000,6024000,40.2,6.673,0.5416666666666666,2013.0,75.0,93.8,8.413
128,Jack Conklin,OT,Browns,60000000,15000000,13985000,3496250,23.3,6.673,0.5638297872340425,2016.0,8.0,97.1,8.738
130,Taylor Decker,OT,Lions,59650000,14912500,29000000,7250000,48.6,6.634,0.41964285714285715,2016.0,16.0,79.6,7.251
153,Joseph Noteboom,OT,Rams,40000000,13333333,16500000,5500000,41.3,5.931,0.23880597014925373,2018.0,89.0,44.2,5.393
172,Charles Leno Jr.,OT,Commanders,37000000,12500000,9000000,3000000,24.3,5.56,0.35570469798657717,2014.0,246.0,67.9,6.51
181,Austin Jackson,OT,Dolphins,36000000,12000000,13066124,4355375,36.3,5.338,0.4583333333333333,2020.0,18.0,87.1,7.821
188,Kaleb McGary,OT,Falcons,34500000,11500000,15000000,5000000,43.5,5.116,0.42857142857142855,2019.0,31.0,82.1,7.431
191,Rob Havenstein,OT,Rams,34500000,11500000,13176471,4392157,38.2,5.116,0.4230769230769231,2015.0,57.0,80.4,7.307
227,Chukwuma Okorafor,OT,Steelers,29250000,9750000,9250000,3083333,31.6,4.337,0.3246753246753247,2018.0,92.0,59.8,6.079
