,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
0,Joe Burrow,QB,Bengals,275000000,55000000,146510000,29302000,53.3,24.466,0.8461538461538461,2020.0,1.0,94.0,20.357
1,Justin Herbert,QB,Chargers,262500000,52500000,133738375,26747675,50.9,23.354,0.8387096774193549,2020.0,6.0,93.3,20.063
2,Lamar Jackson,QB,Ravens,260000000,52000000,135000000,27000000,51.9,23.132,0.9767441860465116,2018.0,32.0,99.3,22.72
3,Jalen Hurts,QB,Eagles,255000000,51000000,110000000,22000000,43.1,22.687,0.9032258064516129,2020.0,53.0,97.3,21.798
4,Russell Wilson,QB,Broncos,245000000,49000000,124000000,24800000,50.6,21.797,0.723404255319149,2012.0,75.0,90.0,18.737
5,Kyler Murray,QB,Cardinals,230500000,46100000,103300000,20660000,44.8,20.507,0.8769230769230769,2019.0,1.0,95.3,20.913
6,Deshaun Watson,QB,Browns,230000000,46000000,230000000,46000000,100.0,20.463,0.8787878787878788,2017.0,12.0,96.0,21.218
7,Patrick Mahomes,QB,Chiefs,450000000,45000000,63081905,6308191,14.0,20.018,1.0,2017.0,10.0,100.0,23.052
8,Josh Allen,QB,Bills,258000000,43000000,100000000,16666667,38.8,19.128,0.8829787234042553,2018.0,7.0,96.7,21.528
10,Daniel Jones,QB,Giants,160000000,40000000,81000000,20250000,50.6,17.793999999999997,0.6333333333333333,2019.0,6.0,81.3,15.646
11,Dak Prescott,QB,Cowboys,160000000,40000000,95000000,23750000,59.4,17.793999999999997,0.7982456140350878,2016.0,135.0,92.0,19.53
13,Derek Carr,QB,Saints,150000000,37500000,60000000,15000000,40.0,16.681,0.5660377358490566,2014.0,36.0,74.0,13.449
14,Kirk Cousins,QB,Vikings,35000000,35000000,70000000,70000000,100.0,15.569,0.6266666666666667,2012.0,102.0,79.3,15.01
16,Jared Goff,QB,Lions,134000000,33500000,57042682,14260671,42.6,14.902,0.7094017094017094,2016.0,1.0,88.7,18.239
19,Ryan Tannehill,QB,Titans,118000000,29500000,62000000,15500000,52.5,13.123,0.5870967741935483,2012.0,8.0,76.7,14.223
25,Geno Smith,QB,Seahawks,75000000,25000000,27300000,9100000,36.4,11.121,0.5454545454545454,2013.0,39.0,71.7,12.823
29,Jimmy Garoppolo,QB,Raiders,72750000,24250000,33750000,11250000,46.4,10.787,0.5802469135802469,2014.0,62.0,76.0,14.018
