,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
112,Christian McCaffrey,RB,49ers,64063412,16015853,30062500,7515625,46.9,7.124,0.7912087912087912,2017.0,8.0,100.0,6.53
122,Alvin Kamara,RB,Saints,75000000,15000000,17833000,3566600,23.8,6.673,0.693069306930693,2017.0,67.0,99.3,6.111
141,Jonathan Taylor,RB,Colts,42000000,14000000,19347556,6449185,46.1,6.228,0.6981132075471698,2020.0,41.0,99.6,6.284
174,Derrick Henry,RB,Titans,50000000,12500000,25500000,6375000,51.0,5.56,0.5378151260504201,2016.0,45.0,93.3,3.941
177,Nick Chubb,RB,Browns,36600000,12200000,17133059,5711020,46.8,5.427,0.5974025974025974,2018.0,35.0,96.5,4.862
182,Josh Jacobs,RB,Raiders,11791000,11791000,10091000,10091000,85.6,5.244999999999999,0.5616438356164384,2019.0,24.0,94.7,4.297
189,Aaron Jones,RB,Packers,23000000,11500000,8520000,4260000,37.0,5.116,0.5773195876288659,2017.0,182.0,95.4,4.5
207,Tony Pollard,RB,Cowboys,10091000,10091000,10091000,10091000,100.0,4.489,0.43037974683544306,2019.0,128.0,87.3,2.908
208,Saquon Barkley,RB,Giants,10091000,10091000,10091000,10091000,100.0,4.489,0.5675675675675675,2018.0,2.0,95.1,4.411
304,James Conner,RB,Cardinals,21000000,7000000,13500000,4500000,64.3,3.114,0.42857142857142855,2017.0,105.0,86.9,2.858
321,Miles Sanders,RB,Panthers,25400000,6350000,13000000,3250000,51.2,2.825,0.4246575342465753,2019.0,53.0,86.6,2.822
347,David Montgomery,RB,Lions,18000000,6000000,8750000,2916667,48.6,2.669,0.4864864864864865,2019.0,73.0,90.5,3.381
352,Joe Mixon,RB,Bengals,11500000,5750000,4128000,2064000,35.9,2.558,0.5154639175257731,2017.0,48.0,91.9,3.639
430,Nyheim Hines,RB,Bills,9000000,4500000,2000000,1000000,22.2,2.002,0.30864197530864196,2018.0,104.0,71.4,1.716
469,Jamaal Williams,RB,Saints,12000000,4000000,8150000,2716667,67.9,1.779,0.32038834951456313,2017.0,134.0,75.3,1.908
493,Samaje Perine,RB,Broncos,7500000,3750000,3000000,1500000,40.0,1.668,0.21505376344086022,2017.0,114.0,56.2,1.233
518,Alexander Mattison,RB,Vikings,7000000,3500000,6350000,3175000,90.7,1.557,0.24,2019.0,102.0,59.0,1.301
602,Ezekiel Elliott,RB,Patriots,3000000,3000000,1100000,1100000,36.7,1.335,0.5583333333333333,2016.0,4.0,94.3,4.189
627,Devin Singletary,RB,Texans,2750000,2750000,2500000,2500000,90.9,1.223,0.4358974358974359,2019.0,74.0,88.0,3.0
631,Clyde Edwards-Helaire,RB,Chiefs,10821576,2705394,9955850,2488963,92.0,1.203,0.375,2020.0,32.0,80.9,2.273
693,Justice Hill,RB,Ravens,4510000,2255000,1250000,625000,27.7,1.003,0.1864406779661017,2019.0,113.0,50.9,1.123
