,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
108,T.J. Hockenson,TE,Vikings,66000000,16500000,29292000,7323000,44.4,7.340000000000001,0.375,2019.0,8.0,97.3,5.982
129,George Kittle,TE,49ers,75000000,15000000,30000000,6000000,40.0,6.673,0.5102040816326531,2017.0,146.0,98.9,6.244
134,Travis Kelce,TE,Chiefs,57250000,14312500,21000000,5250000,36.7,6.367000000000001,0.5408805031446541,2013.0,63.0,100.0,6.431
136,Dallas Goedert,TE,Eagles,57000000,14250000,14877549,3719387,26.1,6.339,0.3614457831325301,2018.0,49.0,96.2,5.808
143,Mark Andrews,TE,Ravens,56000000,14000000,30083059,7520765,53.7,6.228,0.4942528735632184,2018.0,86.0,98.4,6.161
147,Evan Engram,TE,Jaguars,41250000,13750000,24000000,8000000,58.2,6.117,0.3333333333333333,2017.0,23.0,95.1,5.639
148,David Njoku,TE,Browns,54750000,13687500,17000000,4250000,31.1,6.089,0.25263157894736843,2017.0,29.0,86.4,4.466
167,Dawson Knox,TE,Bills,52000000,13000000,19920000,4980000,38.3,5.783,0.2608695652173913,2019.0,96.0,88.0,4.662
173,Hunter Henry,TE,Patriots,37500000,12500000,25000000,8333333,66.7,5.56,0.27184466019417475,2016.0,35.0,89.1,4.802
170,Cole Kmet,TE,Bears,50000000,12500000,22893000,5723250,45.8,5.56,0.29850746268656714,2020.0,43.0,92.4,5.246
255,Tyler Higbee,TE,Rams,17000000,8500000,11075980,5537990,65.2,3.781,0.232,2016.0,110.0,83.2,4.099
272,C.J. Uzomah,TE,Jets,24000000,8000000,15000000,5000000,62.5,3.559,0.1320754716981132,2015.0,157.0,66.3,2.606
273,Will Dissly,TE,Seahawks,24000000,8000000,10340000,3446667,43.1,3.559,0.1527777777777778,2018.0,120.0,70.7,2.932
284,Jonnu Smith,TE,Falcons,15000000,7500000,8500000,4250000,56.7,3.3360000000000003,0.18691588785046728,2017.0,100.0,76.6,3.435
289,Hayden Hurst,TE,Panthers,21750000,7250000,13000000,4333333,59.8,3.225,0.21518987341772153,2018.0,25.0,81.0,3.865
305,Josh Oliver,TE,Vikings,21000000,7000000,8200000,2733333,39.0,3.114,0.07692307692307693,2019.0,69.0,48.1,1.6
313,Tyler Conklin,TE,Jets,20250000,6750000,10000000,3333333,49.4,3.003,0.16326530612244897,2018.0,157.0,72.3,3.061
326,Dalton Schultz,TE,Texans,6250000,6250000,6000000,6000000,96.0,2.78,0.24444444444444444,2018.0,137.0,85.3,4.337
338,Gerald Everett,TE,Chargers,12000000,6000000,8000000,4000000,66.7,2.669,0.205607476635514,2017.0,44.0,77.7,3.538
422,Mike Gesicki,TE,Patriots,4500000,4500000,3550000,3550000,78.9,2.002,0.21428571428571427,2018.0,42.0,80.2,3.783
454,Foster Moreau,TE,Saints,12234000,4078000,8020000,2673333,65.6,1.814,0.13157894736842105,2019.0,137.0,65.8,2.572
482,Durham Smythe,TE,Dolphins,7750000,3875000,5500000,2750000,71.0,1.7239999999999998,0.10526315789473684,2018.0,123.0,57.9,2.081
549,Ian Thomas,TE,Panthers,6650000,3325000,4000000,2000000,60.2,1.479,0.07446808510638298,2018.0,101.0,47.0,1.554
573,Noah Fant,TE,Seahawks,12590724,3147681,12590724,3147681,100.0,1.4,0.25925925925925924,2019.0,20.0,87.5,4.6
