,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
18,Tyreek Hill,WR,Dolphins,120000000,30000000,52535000,13133750,43.8,13.345,0.7338709677419355,2016.0,165.0,99.0,10.827
21,Davante Adams,WR,Raiders,140000000,28000000,22750000,4550000,16.3,12.456,0.56,2014.0,53.0,95.4,9.19
23,Cooper Kupp,WR,Rams,80100000,26700000,35000000,11666667,43.7,11.877,0.6195652173913043,2017.0,69.0,97.6,10.126
24,A.J. Brown,WR,Eagles,100000000,25000000,56470471,14117618,56.5,11.121,0.7402597402597403,2019.0,51.0,99.3,10.991
32,D.K. Metcalf,WR,Seahawks,72000000,24000000,31000000,10333333,43.1,10.676,0.5609756097560976,2019.0,64.0,95.6,9.268
33,Stefon Diggs,WR,Bills,96000000,24000000,47985000,11996250,50.0,10.676,0.6102941176470589,2015.0,146.0,97.3,9.987
34,Deebo Samuel,WR,49ers,71550000,23850000,41000000,13666667,57.3,10.609,0.6515151515151515,2019.0,36.0,98.1,10.366
39,Terry McLaurin,WR,Commanders,69600000,23200000,34654118,11551373,49.8,10.32,0.4625,2019.0,76.0,91.0,7.757
50,D.J. Moore,WR,Bears,61884000,20628000,41610000,13870000,67.2,9.176,0.5154639175257731,2018.0,24.0,93.9,8.646
54,Keenan Allen,WR,Chargers,80100000,20025000,32000000,8000000,40.0,8.908000000000001,0.5323741007194245,2013.0,76.0,94.4,8.82
56,Mike Williams,WR,Chargers,60000000,20000000,40000000,13333333,66.7,8.896999999999998,0.42045454545454547,2017.0,7.0,87.4,6.879
57,Amari Cooper,WR,Browns,100000000,20000000,40000000,8000000,40.0,8.896999999999998,0.45714285714285713,2015.0,4.0,90.1,7.517
61,Chris Godwin,WR,Buccaneers,60000000,20000000,40000000,13333333,66.7,8.896999999999998,0.4519230769230769,2017.0,84.0,89.8,7.441
75,Diontae Johnson,WR,Steelers,36710000,18355000,19000000,9500000,51.8,8.165,0.42857142857142855,2019.0,66.0,87.9,6.989
79,Christian Kirk,WR,Jaguars,72000000,18000000,37000000,9250000,51.4,8.007,0.4588235294117647,2018.0,47.0,90.3,7.569
89,Tyler Lockett,WR,Seahawks,69200000,17300000,21000000,5250000,30.3,7.696,0.4444444444444444,2015.0,69.0,89.2,7.292
107,Mike Evans,WR,Buccaneers,82500000,16500000,38258000,7651600,46.4,7.340000000000001,0.474025974025974,2014.0,7.0,91.5,7.897
118,Hunter Renfrow,WR,Raiders,31700000,15850000,14500000,7250000,45.7,7.051,0.2876712328767123,2019.0,149.0,76.3,5.1
127,Odell Beckham Jr.,WR,Ravens,15000000,15000000,15000000,15000000,100.0,6.673,0.5363636363636364,2014.0,12.0,94.9,9.001
121,Courtland Sutton,WR,Broncos,60000000,15000000,18848944,4712236,31.4,6.673,0.37037037037037035,2018.0,40.0,83.8,6.18
161,DeAndre Hopkins,WR,Titans,26000000,13000000,10980000,5490000,42.2,5.783,0.49382716049382713,2013.0,27.0,93.0,8.349
190,Curtis Samuel,WR,Commanders,34500000,11500000,21500000,7166667,62.3,5.116,0.2967032967032967,2017.0,40.0,77.0,5.184
193,Michael Gallup,WR,Cowboys,57500000,11500000,23000000,4600000,40.0,5.116,0.3488372093023256,2018.0,81.0,81.8,5.85
200,Tyler Boyd,WR,Bengals,43000000,10750000,9000000,2250000,20.9,4.782,0.38333333333333336,2016.0,55.0,84.5,6.305
215,Marquez Valdes-Scantling,WR,Chiefs,30000000,10000000,8560000,2853333,28.5,4.448,0.2826086956521739,2018.0,174.0,75.3,4.984
213,Brandin Cooks,WR,Cowboys,20000000,10000000,12000000,6000000,60.0,4.448,0.4797297297297297,2014.0,20.0,92.0,8.042
210,Michael Thomas,WR,Saints,10000000,10000000,6260000,6260000,62.6,4.448,0.7228915662650602,2016.0,47.0,98.5,10.566
253,Russell Gage,WR,Buccaneers,17000000,8500000,7000000,3500000,41.2,3.781,0.2702702702702703,2018.0,194.0,73.1,4.746
254,JuJu Smith-Schuster,WR,Patriots,25500000,8500000,16000000,5333333,62.7,3.781,0.4444444444444444,2017.0,62.0,89.2,7.292
