,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap,AVpG,Drafted,Draft_Pick,AV_percentile,fit_Cap
51,Chris Lindstrom,G,Falcons,102500000,20500000,48202000,9640400,47.0,9.119,0.4647887323943662,2019.0,14.0,90.1,6.048
62,Quenton Nelson,G,Colts,80000000,20000000,41000000,10250000,51.3,8.896999999999998,0.6631578947368421,2018.0,6.0,99.6,8.217
74,Zack Martin,G,Cowboys,36850000,18425000,36850000,18425000,100.0,8.196,0.6710526315789473,2014.0,16.0,100.0,8.343
101,Elgton Jenkins,G,Packers,68000000,17000000,24000000,6000000,35.3,7.562,0.5428571428571428,2019.0,44.0,97.8,7.694
114,Joe Thuney,G,Chiefs,80000000,16000000,31890000,6378000,39.9,7.117,0.5116279069767442,2016.0,78.0,94.5,6.89
115,Joel Bitonio,G,Browns,48000000,16000000,14602942,4867647,30.4,7.117,0.4930555555555556,2014.0,35.0,92.6,6.5
137,Jason Kelce,C,Eagles,14250000,14250000,14250000,14250000,100.0,6.339,0.533678756476684,2011.0,191.0,97.4,7.587
138,Wyatt Teller,G,Browns,56800000,14200000,16591500,4147875,29.2,6.317,0.40963855421686746,2018.0,166.0,81.6,4.893
151,Frank Ragnow,C,Lions,54000000,13500000,27960640,6990160,51.8,6.005,0.5125,2018.0,20.0,94.9,6.979
155,Laken Tomlinson,G,Jets,40000000,13333333,23900000,7966667,59.8,5.931,0.3424657534246575,2015.0,28.0,66.2,3.635
166,Ben Powers,G,Broncos,52000000,13000000,27000000,6750000,51.9,5.783,0.328125,2019.0,123.0,61.4,3.365
175,Corey Linsley,C,Chargers,62500000,12500000,17000000,3400000,27.2,5.56,0.48484848484848486,2014.0,161.0,92.3,6.442
176,Ryan Kelly,C,Colts,49650000,12412500,25350000,6337500,51.1,5.522,0.4594594594594595,2016.0,18.0,89.3,5.917
179,Erik McCoy,C,Saints,60000000,12000000,20090000,4018000,33.5,5.338,0.3918918918918919,2019.0,48.0,79.0,4.623
198,Cesar Ruiz,G,Saints,44000000,11000000,18188981,4547245,41.3,4.893,0.3548387096774194,2020.0,24.0,70.4,3.909
204,Cody Whitehair,G,Bears,51250000,10250000,12026078,2405216,23.5,4.5600000000000005,0.3548387096774194,2016.0,56.0,70.4,3.909
221,Nate Davis,G,Bears,30000000,10000000,17500000,4375000,58.3,4.448,0.4090909090909091,2019.0,82.0,81.2,4.849
229,Mitch Morse,C,Bills,19500000,9750000,10640000,5320000,54.6,4.337,0.42857142857142855,2015.0,49.0,85.8,5.403
243,James Daniels,G,Steelers,26500000,8833333,8750000,2916667,33.0,3.929,0.3372093023255814,2018.0,39.0,65.6,3.599
247,Austin Corbett,G,Panthers,26250000,8750000,19600000,6533333,74.7,3.892,0.32894736842105265,2018.0,33.0,62.1,3.402
266,Isaac Seumalo,G,Steelers,24000000,8000000,6950000,2316667,29.0,3.559,0.29591836734693877,2016.0,79.0,55.5,3.084
281,Kevin Zeitler,G,Ravens,22500000,7500000,16000000,5333333,71.1,3.3360000000000003,0.33516483516483514,2012.0,27.0,64.3,3.523
286,Connor McGovern,G,Bills,22350000,7450000,9900000,3300000,44.3,3.314,0.28431372549019607,2016.0,144.0,52.2,2.946
330,Mark Glowinski,G,Giants,18300000,6100000,11400000,3800000,62.3,2.714,0.3225806451612903,2015.0,134.0,60.3,3.309
343,Ethan Pocic,C,Browns,18000000,6000000,10000000,3333333,55.6,2.669,0.32941176470588235,2017.0,58.0,62.5,3.423
349,Ted Karras,C,Bengals,18000000,6000000,5000000,1666667,27.8,2.669,0.30158730158730157,2016.0,221.0,55.9,3.101
336,Bradley Bozeman,C,Panthers,18000000,6000000,10000000,3333333,55.6,2.669,0.3229166666666667,2018.0,215.0,60.7,3.329
377,Garrett Bradbury,C,Vikings,15750000,5250000,5150000,1716667,32.7,2.335,0.39436619718309857,2019.0,18.0,79.4,4.662
379,Mason Cole,C,Steelers,15750000,5250000,4565000,1521667,29.0,2.335,0.26595744680851063,2018.0,97.0,49.6,2.846
395,Brian Allen,C,Rams,10000000,5000000,3000000,1500000,30.0,2.224,0.32,2018.0,111.0,59.6,3.274
429,Will Hernandez,G,Cardinals,9000000,4500000,4500000,2250000,50.0,2.002,0.3695652173913043,2018.0,34.0,73.9,4.171
464,Phil Haynes,G,Seahawks,4000000,4000000,3490000,3490000,87.3,1.779,0.22580645161290322,2019.0,124.0,42.3,2.598
